match_id,tournament_name,tournament_slug,tournament_year,category,court,status,t1_p1,t1_p2,t2_p1,t2_p2,t1_set1,t1_set2,t1_set3,t2_set1,t2_set2,t2_set3,winner,match_longest_points_won_streak_t1,match_longest_points_won_streak_t2,match_total_points_won_t1,match_total_points_won_t2,match_total_return_points_won_t1,match_total_return_points_won_t2,match_total_serve_points_won_t1,match_total_serve_points_won_t2,return_first_return_points_won_t1,return_first_return_points_won_t2,return_return_games_played_t1,return_return_games_played_t2,return_second_return_points_won_t1,return_second_return_points_won_t2,service_aces_t1,service_aces_t2,service_double_faults_t1,service_double_faults_t2,service_first_serve_points_won_t1,service_first_serve_points_won_t2,service_second_serve_points_won_t1,service_second_serve_points_won_t2,service_services_games_played_t1,service_services_games_played_t2
3422,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q1,CENTER COURT,Completed,AlSuliman,Alkadi,Nunes,Solbes,0,0,,6,6,,2,2,17,16% 10/61,84% 51/61,11% 3/27,79% 27/34,21% 7/34,89% 24/27,11% 3/27,79% 27/34,6,6,0% 0/0,0% 0/0,0,0,0,0,21% 7/34,89% 24/27,0% 0/0,0% 0/0,6,6
3423,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q1,CENTER COURT,Completed,Guichard,Geens,Almiaraj,Alshahrani,6,6,,1,0,,1,6,2,68% 52/76,32% 24/76,62% 28/45,23% 7/31,77% 24/31,38% 17/45,63% 22/35,26% 7/27,7,6,60% 6/10,0% 0/0,0,0,0,0,74% 20/27,37% 13/35,100% 4/4,40% 4/10,6,7
3424,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q1,CENTER COURT,Completed,Montes Cabruja,Polo Bautista,Fahad Alharbi,Mohammed Salhab,6,6,,0,1,,1,13,3,75% 50/67,25% 17/67,74% 25/34,24% 8/33,76% 25/33,26% 9/34,69% 20/29,19% 5/27,7,6,100% 5/5,50% 3/6,0,0,0,0,81% 22/27,31% 9/29,50% 3/6,0% 0/5,6,7
3425,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q1,CENTER COURT,Completed,Lobo,Saiz Vallejo,Casali,Vano Martin,6,7,,1,5,,1,6,7,58% 69/118,42% 49/118,58% 37/64,41% 22/54,59% 32/54,42% 27/64,58% 25/43,43% 20/47,10,9,57% 12/21,29% 2/7,0,0,0,0,57% 27/47,42% 18/43,71% 5/7,43% 9/21,9,10
3426,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q1,COURT 1,Completed,Araujo,Luque,Bueno,Mendez,5,4,,7,6,,2,5,6,47% 72/153,53% 81/153,40% 33/83,44% 31/70,56% 39/70,60% 50/83,39% 27/70,40% 23/58,11,11,46% 6/13,67% 8/12,0,0,0,0,60% 35/58,61% 43/70,33% 4/12,54% 7/13,11,11
3427,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q1,COURT 1,Completed,Gutierrez,Alfonso,Moyano,Fernandez Lancha,7,6,,6,3,,1,8,6,54% 74/138,46% 64/138,35% 25/71,27% 18/67,73% 49/67,65% 46/71,35% 25/71,27% 18/67,11,10,0% 0/0,0% 0/0,0,0,0,0,73% 49/67,65% 46/71,0% 0/0,0% 0/0,10,11
3428,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q1,COURT 1,Completed,Eugenio Barrera,Rodriguez Abajo,Schuck Silva,Gomez Rivas,6,6,,4,3,,1,10,4,57% 68/119,43% 51/119,45% 27/60,31% 18/59,69% 41/59,55% 33/60,43% 21/49,35% 17/49,9,10,55% 6/11,10% 1/10,0,0,0,0,65% 32/49,57% 28/49,90% 9/10,45% 5/11,10,9
3429,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q1,COURT 1,Completed,Perez Momha,Varo Ramos,Merino Saez,Perez Ortiz,0,2,,6,6,,2,4,10,34% 28/82,66% 54/82,36% 16/44,68% 26/38,32% 12/38,64% 28/44,36% 14/39,69% 24/35,7,7,40% 2/5,67% 2/3,0,0,0,0,31% 11/35,64% 25/39,33% 1/3,60% 3/5,7,7
3430,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q1,COURT 2,Completed,Abbate,Graziotti,Rodriguez Martinez,Arnaldos Serrano,7,7,,6,6,,1,8,5,55% 85/155,45% 70/155,43% 35/81,32% 24/74,68% 50/74,57% 46/81,41% 29/70,33% 19/58,12,12,55% 6/11,31% 5/16,0,0,0,0,67% 39/58,59% 41/70,69% 11/16,45% 5/11,12,12
3431,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q1,COURT 2,Completed,Castillo Valverde,Jorge Alfaro,Marques Berdonce,Mena,6,7,6,7,6,7,2,8,5,50% 119/240,50% 121/240,29% 33/114,32% 40/126,68% 86/126,71% 81/114,27% 28/103,32% 37/115,18,18,45% 5/11,27% 3/11,0,0,0,0,68% 78/115,73% 75/103,73% 8/11,55% 6/11,18,18
3432,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q1,COURT 2,Completed,Lopez Lopez,Blanco Rojo,Navarro Björk,Soriano Perez,7,4,6,5,6,3,1,5,4,50% 118/234,50% 116/234,42% 49/117,41% 48/117,59% 69/117,58% 68/117,38% 33/86,40% 38/94,15,16,52% 16/31,43% 10/23,0,0,0,0,60% 56/94,62% 53/86,57% 13/23,48% 15/31,16,15
3433,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q1,CENTER COURT,Completed,Cañellas Rodero,Peralta Exposito,Manquillo Alarza,Martinez Fortun,3,4,,6,6,,2,5,9,45% 57/126,55% 69/126,43% 24/56,53% 37/70,47% 33/70,57% 32/56,43% 24/56,53% 37/70,10,9,0% 0/0,0% 0/0,0,0,0,0,47% 33/70,57% 32/56,0% 0/0,0% 0/0,9,10
3435,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q1,COURT 3,Completed,Montiel Caruso,Leygue,Sanchez,Ruiz,7,6,,6,3,,1,5,7,54% 78/144,46% 66/144,39% 29/75,29% 20/69,71% 49/69,61% 46/75,40% 27/68,29% 17/59,11,10,29% 2/7,30% 3/10,0,0,0,0,71% 42/59,60% 41/68,70% 7/10,71% 5/7,10,11
3436,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q1,COURT 3,Completed,Arellano Navarro,Lujan Rodriguez,Bellver Fructuoso,Godallier,6,3,6,4,6,1,1,6,4,53% 102/194,47% 92/194,42% 43/103,35% 32/91,65% 59/91,58% 60/103,42% 43/103,35% 32/91,13,13,0% 0/0,0% 0/0,0,0,0,0,65% 59/91,58% 60/103,0% 0/0,0% 0/0,13,13
3437,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q1,COURT 3,Completed,Borrero,Calvo Santamaria,Gallardo Salvado,Pujals Perez,6,6,,1,1,,1,8,3,66% 65/99,34% 34/99,66% 33/50,35% 17/49,65% 32/49,34% 17/50,64% 25/39,38% 15/40,7,7,73% 8/11,22% 2/9,0,0,0,0,62% 25/40,36% 14/39,78% 7/9,27% 3/11,7,7
3438,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q2,CENTER COURT,Completed,Collado Losada,Martinez,Guichard,Geens,6,6,,3,3,,1,5,5,57% 59/103,43% 44/103,42% 22/53,26% 13/50,74% 37/50,58% 31/53,44% 21/48,24% 11/45,9,9,20% 1/5,40% 2/5,0,0,0,0,76% 34/45,56% 27/48,60% 3/5,80% 4/5,9,9
3439,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q2,CENTER COURT,Completed,Cordoba,Medina Murphy,Deus,Deus,1,4,,6,6,,2,3,5,38% 36/96,62% 60/96,18% 8/45,45% 23/51,55% 28/51,82% 37/45,18% 7/40,47% 21/45,9,8,20% 1/5,33% 2/6,1,0,0,0,53% 24/45,82% 33/40,67% 4/6,80% 4/5,8,9
3440,RIYADH SEASON P1,riyadh-season-p1,2025,Women Q2,CENTER COURT,Completed,Lobo,Saiz Vallejo,Manquillo Alarza,Martinez Fortun,6,6,,4,2,,1,5,6,54% 57/106,46% 49/106,41% 19/46,37% 22/60,63% 38/60,59% 27/46,44% 18/41,38% 20/53,9,9,20% 1/5,29% 2/7,0,0,0,0,62% 33/53,56% 23/41,71% 5/7,80% 4/5,9,9
3441,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q3,CENTER COURT,Completed,Collado Losada,Martinez,Piotto Albornoz,Del Castillo,3,6,5,6,4,7,2,6,7,49% 100/205,51% 105/205,42% 47/111,44% 41/94,56% 53/94,58% 64/111,43% 42/98,43% 36/83,16,15,38% 5/13,45% 5/11,0,0,0,0,57% 47/83,57% 56/98,55% 6/11,62% 8/13,15,16
3442,RIYADH SEASON P1,riyadh-season-p1,2025,Men Q3,CENTER COURT,Completed,Ramirez,Perino,Deus,Deus,3,2,,6,6,,2,5,5,41% 45/110,59% 65/110,30% 16/53,49% 28/57,51% 29/57,70% 37/53,30% 16/53,49% 28/57,9,8,0% 0/0,0% 0/0,0,0,0,0,51% 29/57,70% 37/53,0% 0/0,0% 0/0,8,9
